symbol,tier,direction,structure,contracts,expiry,long_leg,short_leg,limit,OCO_tp,OCO_sl,entry_trigger,notes
FORD,C,long?,Template,2,,,,,1.5,0.5,Lower-high → VWAP rejection (no fresh halt) (RVOL ≥ 1.5); levels: vwap=NA,
LDI,C,long?,Template,2,,,,,1.5,0.5,Lower-high → VWAP rejection (no fresh halt) (RVOL ≥ 1.5); levels: vwap=NA,
