symbol,raw_score,tier,passes_core_filter,direction,structure_template,contracts,entry_trigger,tp,sl,expiry,long_strike,short_strike,debit_or_credit,width,per_leg_oi_ok,per_leg_spread_pct,needs_chain,cap_breach,concurrency_guard
FORD,10.4,C,False,long?,Template,2,Lower-high → VWAP rejection (no fresh halt) (RVOL ≥ 1.5); levels: vwap=NA,1.5,0.5,,,,,,False,,True,0,0
LDI,10.4,C,False,long?,Template,2,Lower-high → VWAP rejection (no fresh halt) (RVOL ≥ 1.5); levels: vwap=NA,1.5,0.5,,,,,,False,,True,0,0
